date,platform,campaign_type,campaign_objetive,product_category,market,total_impressions,total_clicks,total_ad_spend,total_conversions,total_revenue,ctr,cpc,cpa,roas
2024-01-04,Meta Ads,Shopping,Performance,Haircare,Mexico,393230,6845,7034.89,462,66237.23,0.017407115428629556,1.0277414170927686,15.227034632034632,9.415531728285728
2024-09-27,Meta Ads,Video,Branding,Makeup,Brazil,74212,1528,2230.88,85,21331.58,0.02058966204926427,1.46,26.24564705882353,9.56195761313921
2024-02-17,Meta Ads,Video,Branding,Makeup,Brazil,134660,4327,5604.070000000001,98,23566.61,0.03213277885043814,1.2951398197365382,57.184387755102044,4.205266886387928
2024-02-27,Google Ads,Search,Performance,Haircare,Brazil,108751,5459,7806.37,345,24740.95,0.05019723956561319,1.43,22.627159420289853,3.1693283818215128
2024-11-30,Google Ads,Display,Branding,Skincare,Brazil,79960,1591,1638.73,55,15206.45,0.01989744872436218,1.03,29.79509090909091,9.27941149548736
2024-01-22,Google Ads,Display,Branding,Haircare,Brazil,85077,4032,11450.88,253,13168.69,0.047392362213054054,2.84,45.26039525691699,1.15001554465683
2024-08-27,Google Ads,Shopping,Performance,Skincare,Mexico,159226,5206,5049.82,137,27701.27,0.03269566528079585,0.97,36.86,5.485595526177171
2024-03-08,Meta Ads,Video,Branding,Skincare,Mexico,46850,983,1553.14,38,10968.52,0.020981856990394877,1.58,40.8721052631579,7.062157950989608
2024-11-29,Meta Ads,Video,Branding,Makeup,Brazil,61652,2614,3345.92,133,20303.14,0.04239927334068643,1.28,25.157293233082708,6.0680291220351945
2024-04-08,Google Ads,Search,Performance,Haircare,Mexico,114028,3112,4232.32,120,10393.96,0.027291542428175535,1.3599999999999999,35.26933333333333,2.4558539996975655
2024-02-01,Google Ads,Video,Branding,Haircare,Brazil,48790,2824,3671.2,178,37847.71,0.057880713260914124,1.3,20.624719101123596,10.309356613641317
2024-10-17,TikTok Ads,Search,Performance,Haircare,Argentina,47462,1803,955.59,98,29213.28,0.03798828536513421,0.53,9.750918367346939,30.570935233729944
2024-03-27,Google Ads,Video,Branding,Haircare,Mexico,109672,2675,6821.25,50,11521.03,0.024390911080312203,2.55,136.425,1.6889910207073484
2024-04-29,Meta Ads,Display,Branding,Skincare,Argentina,12610,197,130.02,11,2637.16,0.015622521808088818,0.66,11.82,20.28272573450238
2024-01-15,Google Ads,Search,Performance,Skincare,Mexico,43098,1620,4422.6,39,7135.44,0.03758875121815398,2.7300000000000004,113.4,1.6134038800705466
2024-11-21,Google Ads,Display,Branding,Haircare,Argentina,150778,2985,4149.15,59,16435.61,0.01979731791110109,1.39,70.32457627118643,3.961199281780606
2024-08-11,TikTok Ads,Search,Performance,Makeup,Argentina,164599,11209,4595.69,653,133415.01,0.06809883413629488,0.41,7.037810107197549,29.030463325420126
2024-09-10,TikTok Ads,Search,Performance,Makeup,Mexico,90468,5753,4602.4,141,12042.73,0.06359154618207544,0.7999999999999999,32.641134751773045,2.616619589779246
2024-10-18,Google Ads,Search,Performance,Makeup,Argentina,49484,1118,2291.9,79,18417.53,0.022593161425915446,2.0500000000000003,29.011392405063294,8.035922160652733
2024-04-15,Meta Ads,Shopping,Performance,Haircare,Mexico,106505,1022,1839.6,27,2467.18,0.009595793624712455,1.7999999999999998,68.13333333333333,1.3411502500543597
2024-05-17,Google Ads,Display,Branding,Haircare,Mexico,12086,594,1461.24,21,3418.15,0.04914777428429588,2.46,69.58285714285714,2.339211902220032
2024-05-10,Google Ads,Display,Branding,Haircare,Brazil,74672,2665,4157.4,129,32318.91,0.03568941504178273,1.5599999999999998,32.22790697674418,7.773827392120076
2024-07-10,Meta Ads,Shopping,Performance,Haircare,Argentina,134614,3190,5678.2,188,41736.54,0.02369738660169076,1.78,30.2031914893617,7.3503117185023426
2024-11-06,Google Ads,Display,Branding,Haircare,Argentina,14884,541,1758.25,43,4123.58,0.03634775597957538,3.25,40.88953488372093,2.345275131522821
2024-08-15,Google Ads,Shopping,Performance,Haircare,Argentina,175623,9483,9198.51,268,79311.56,0.05399634444235664,0.97,34.322798507462686,8.622218163593885
2024-02-29,Google Ads,Search,Performance,Haircare,Brazil,34802,1708,4953.2,72,6827.25,0.049077639216137,2.9,68.79444444444444,1.3783513688120812
2024-08-30,Meta Ads,Video,Branding,Haircare,Brazil,140431,1544,802.88,74,2904.54,0.010994723387286283,0.52,10.849729729729729,3.6176514547628535
2024-06-13,TikTok Ads,Search,Performance,Haircare,Brazil,139511,8384,11318.4,209,26357.3,0.06009561970023869,1.3499999999999999,54.15502392344497,2.3287125388747527
2024-12-13,Meta Ads,Video,Branding,Haircare,Argentina,149542,2497,2596.88,70,12612.87,0.016697650158483904,1.04,37.098285714285716,4.856932164751548
2024-08-08,Meta Ads,Search,Performance,Makeup,Brazil,8188,272,315.52,14,3745.84,0.03321934538348803,1.16,22.537142857142857,11.871957403651116
2024-02-05,TikTok Ads,Search,Performance,Makeup,Mexico,168322,4965,4518.15,228,49052.14,0.029497035443970487,0.9099999999999999,19.816447368421052,10.856686918318339
2024-05-09,Meta Ads,Display,Branding,Haircare,Brazil,113957,3008,7008.64,127,17960.45,0.026395921268548662,2.33,55.18614173228347,2.5626155716372936
2024-08-28,Meta Ads,Video,Branding,Makeup,Brazil,196386,6794,5503.14,506,34412.06,0.03459513407269357,0.81,10.875770750988142,6.253168191250812
2024-01-23,Google Ads,Search,Performance,Haircare,Argentina,57979,2081,3933.09,148,18788.47,0.03589230583487125,1.8900000000000001,26.574932432432433,4.777025188846428
2024-09-01,TikTok Ads,Shopping,Performance,Skincare,Brazil,131206,8279,12666.87,553,61485.88,0.06309924850997668,1.53,22.905732368896928,4.8540705004472295
2024-10-08,Meta Ads,Shopping,Performance,Haircare,Brazil,155555,4588,7111.4,332,12719.4,0.02949439105139661,1.5499999999999998,21.41987951807229,1.7885929634108615
2024-02-15,Google Ads,Search,Performance,Skincare,Brazil,30835,925,1813,14,3805.56,0.029998378466028864,1.96,129.5,2.0990402647545503
2024-12-16,TikTok Ads,Search,Performance,Skincare,Brazil,56782,3264,2611.2,154,15749.58,0.05748300517769716,0.7999999999999999,16.955844155844154,6.031548713235295
2024-04-28,Google Ads,Shopping,Performance,Haircare,Argentina,81830,4091,5931.95,49,7206.83,0.04999388977147745,1.45,121.06020408163265,1.2149175229056213
2024-12-04,Google Ads,Video,Branding,Makeup,Mexico,154741,6019,6259.76,220,38586.7,0.03889725412140286,1.04,28.453454545454548,6.16424591358135
2024-06-19,Meta Ads,Search,Performance,Skincare,Brazil,302976,10355,23145.33,699,140161.26,0.034177624630333754,2.2351839690970547,33.112060085836916,6.055703677588524
2024-12-06,Meta Ads,Display,Branding,Skincare,Mexico,14815,189,103.95,3,142.69,0.012757340533243334,0.55,34.65,1.3726791726791727
2024-03-22,Google Ads,Display,Branding,Skincare,Brazil,65985,1445,1184.9,63,4237.85,0.021898916420398575,0.8200000000000001,18.80793650793651,3.576546544012153
2024-06-30,Google Ads,Display,Branding,Makeup,Argentina,64757,3976,5685.68,58,4380.33,0.06139876770078911,1.4300000000000002,98.02896551724139,0.7704144447102194
2024-10-30,Meta Ads,Shopping,Performance,Haircare,Mexico,88470,2459,2434.41,165,44145,0.027794732677743867,0.99,14.754,18.1337572553514
2024-07-27,Google Ads,Video,Branding,Skincare,Brazil,190890,7616,8834.56,141,25751.07,0.039897323065639895,1.16,62.65645390070922,2.9148106979860913
2024-12-30,Google Ads,Shopping,Performance,Haircare,Mexico,148041,8053,27943.91,98,4146.07,0.054397092697293314,3.47,285.1419387755102,0.14837114777423774
2024-09-03,Google Ads,Video,Branding,Skincare,Brazil,177472,9210,18696.3,410,45066.38,0.05189551027767761,2.03,45.600731707317074,2.4104437776458445
2024-08-15,Google Ads,Display,Branding,Haircare,Brazil,95153,5404,9186.8,74,20688.95,0.05679274431704728,1.7,124.14594594594594,2.252030086646058
2024-11-13,Google Ads,Video,Branding,Haircare,Mexico,179877,4317,10965.18,215,13004.03,0.023999733150986507,2.54,51.000837209302325,1.1859385801236277
2024-01-16,Google Ads,Search,Performance,Haircare,Brazil,192593,4949,9056.67,172,20836.16,0.025696676410876824,1.83,52.65505813953489,2.30064250988498
2024-10-16,Google Ads,Shopping,Performance,Skincare,Brazil,163178,5172,11430.12,325,14305.21,0.031695449141428376,2.21,35.1696,1.2515362918324566
2024-05-23,Google Ads,Video,Branding,Makeup,Brazil,162242,5110,13643.7,118,30643.55,0.031496160057198505,2.67,115.62457627118644,2.2459853265609766
2024-06-23,Google Ads,Video,Branding,Skincare,Argentina,121565,2601,5306.04,176,34156.84,0.021395961008513965,2.04,30.147954545454546,6.4373506419099735
2024-12-09,Google Ads,Display,Branding,Makeup,Mexico,39505,2251,6888.06,149,30920.99,0.056980129097582585,3.06,46.22859060402685,4.48907094305218
2024-11-06,Meta Ads,Shopping,Performance,Haircare,Brazil,149654,6689,8628.81,262,10578.46,0.04469643310569714,1.2899999999999998,32.934389312977096,1.2259465673713987
2024-09-08,Meta Ads,Video,Branding,Haircare,Mexico,27036,708,1182.36,12,1538.26,0.026187305814469597,1.67,98.52999999999999,1.3010081531851552
2024-09-13,Meta Ads,Search,Performance,Makeup,Brazil,114844,3307,6944.7,123,36552.89,0.02879558357423984,2.1,56.4609756097561,5.26342246605325
2024-09-11,Meta Ads,Video,Branding,Haircare,Brazil,34949,1324,2369.96,86,9084.22,0.037883773498526424,1.79,27.557674418604652,3.8330689125554858
2024-05-15,Meta Ads,Video,Branding,Skincare,Brazil,143383,3412,3480.24,117,19100.2,0.023796405431606257,1.02,29.745641025641024,5.488184722892675
2024-06-14,Google Ads,Display,Branding,Skincare,Argentina,160579,7804,10613.44,193,9996.49,0.04859913189146775,1.36,54.9919170984456,0.9418708731570536
2024-10-30,TikTok Ads,Shopping,Performance,Haircare,Brazil,158807,5859,3339.63,73,7304.51,0.036893839692205006,0.5700000000000001,45.748356164383566,2.187221338890835
2024-02-13,Meta Ads,Video,Branding,Makeup,Argentina,57299,1186,1601.1,25,5383.27,0.02069844150857781,1.3499999999999999,64.044,3.362232215351946
2024-05-27,Google Ads,Search,Performance,Skincare,Mexico,161554,6252,19068.6,361,57767.01,0.03869913465466655,3.05,52.82160664819944,3.0294311066360406
2024-01-25,Meta Ads,Search,Performance,Haircare,Argentina,27499,728,778.96,17,3860.75,0.026473689952361903,1.07,45.821176470588235,4.956287871007497
2024-07-19,Google Ads,Shopping,Performance,Skincare,Argentina,23773,461,737.6,5,642.97,0.019391746939805662,1.6,147.52,0.8717055314533623
2024-03-17,Meta Ads,Shopping,Performance,Makeup,Brazil,57784,907,1097.47,54,2856.1,0.01569638654298768,1.21,20.32351851851852,2.602440157817526
2024-12-23,Google Ads,Video,Branding,Makeup,Brazil,83845,2599,6991.31,137,29891.75,0.030997674279921283,2.69,51.0314598540146,4.2755577996112315
2024-03-28,Meta Ads,Search,Performance,Skincare,Mexico,196595,2614,993.32,28,6376.7,0.01329637071136092,0.38,35.47571428571429,6.419582813192123
2024-11-25,Google Ads,Display,Branding,Haircare,Argentina,158138,2846,5805.84,143,22164.01,0.017996939382058708,2.04,40.60027972027972,3.8175371694707394
2024-04-01,TikTok Ads,Display,Branding,Haircare,Argentina,116561,4231,4231,172,42291.58,0.036298590437624935,1,24.598837209302324,9.99564641928622
2024-10-12,Meta Ads,Search,Performance,Makeup,Brazil,61437,1087,2424.01,80,11780.01,0.017692921203834824,2.23,30.300125,4.859720050659857
2024-07-26,TikTok Ads,Shopping,Performance,Skincare,Brazil,21643,1142,1176.26,81,18823.45,0.05276532828166151,1.03,14.521728395061729,16.00279700066312
2024-12-21,Google Ads,Video,Branding,Skincare,Mexico,83243,2821,8547.63,181,43894.09,0.03388873538916185,3.03,47.22447513812154,5.135235147052458
2024-07-31,Meta Ads,Search,Performance,Haircare,Brazil,39754,1164,1571.4,72,9221.61,0.02928007244554007,1.35,21.825000000000003,5.868403970981291
2024-04-05,Meta Ads,Shopping,Performance,Makeup,Mexico,43148,979,1086.69,71,7719.69,0.02268934828960786,1.11,15.30549295774648,7.103856665654417
2024-01-27,Meta Ads,Search,Performance,Skincare,Mexico,128556,4910,4320.8,55,10684.27,0.038193472105541554,0.88,78.56,2.472752730975745
2024-09-21,Meta Ads,Shopping,Performance,Skincare,Mexico,17281,793,935.74,46,12594.97,0.045888548116428445,1.18,20.342173913043478,13.459903391967854
2024-02-16,Google Ads,Video,Branding,Makeup,Brazil,180069,5780,8496.6,272,74348.97,0.03209880656859315,1.47,31.2375,8.750437822187699
2024-09-26,Google Ads,Shopping,Performance,Skincare,Argentina,161252,8046,24540.3,550,130994.6,0.0498970555403964,3.05,44.61872727272727,5.337938004017881
2024-04-04,Meta Ads,Shopping,Performance,Makeup,Mexico,26637,479,397.57,35,1488.52,0.01798250553741037,0.83,11.359142857142857,3.744045073823478
2024-12-10,Meta Ads,Display,Branding,Skincare,Brazil,57996,1705,3478.2,127,26935.06,0.02939857921235947,2.04,27.38740157480315,7.743965269392215
2024-12-22,Meta Ads,Shopping,Performance,Haircare,Mexico,49522,1554,2657.34,23,1909.73,0.03137999273050361,1.7100000000000002,115.53652173913044,0.7186622712938502
2024-12-30,Google Ads,Search,Performance,Haircare,Mexico,63738,1306,1214.58,87,16951.52,0.020490131475728764,0.9299999999999999,13.960689655172413,13.956692848556704
2024-12-04,Meta Ads,Search,Performance,Haircare,Brazil,158742,5778,12538.26,388,68610.11,0.03639868465812451,2.17,32.3151030927835,5.472059918999925
2024-03-19,Google Ads,Shopping,Performance,Haircare,Mexico,184081,5135,11194.3,96,24545.05,0.02789532868682808,2.1799999999999997,116.60729166666665,2.192638217664347
2024-10-07,TikTok Ads,Display,Branding,Haircare,Mexico,124614,4573,1326.17,240,46988.2,0.03669732132826167,0.29000000000000004,5.525708333333333,35.43150576472096
2024-06-01,TikTok Ads,Shopping,Performance,Haircare,Mexico,52368,3351,2044.11,117,12829.28,0.06398945921173235,0.61,17.47102564102564,6.276218011750836
2024-08-08,Meta Ads,Search,Performance,Haircare,Argentina,164074,6152,5844.4,360,47241.24,0.03749527652156954,0.95,16.234444444444442,8.083163370063652
2024-10-26,Google Ads,Search,Performance,Makeup,Argentina,90349,5420,16368.4,105,16913.07,0.05998959590034201,3.02,155.8895238095238,1.0332757019623175
2024-06-03,TikTok Ads,Shopping,Performance,Makeup,Mexico,77726,2557,1252.93,37,2932.31,0.03289761469778452,0.49000000000000005,33.862972972972976,2.340362191024239
2024-06-23,Meta Ads,Search,Performance,Haircare,Argentina,57203,1029,895.23,11,1505.4,0.01798856703319756,0.87,81.38454545454546,1.6815790355551088
2024-07-12,TikTok Ads,Display,Branding,Skincare,Brazil,36562,1257,540.51,74,11838.52,0.03437995733274985,0.43,7.304189189189189,21.902499491221256
2024-07-02,Google Ads,Display,Branding,Haircare,Brazil,87481,4181,12041.28,104,28643.42,0.047793235102479396,2.8800000000000003,115.78153846153847,2.3787687023306487
2024-01-09,Google Ads,Video,Branding,Skincare,Mexico,108510,3721,5246.61,116,23480.01,0.03429177034374712,1.41,45.229396551724136,4.47527260459611
2024-03-30,Google Ads,Search,Performance,Skincare,Brazil,66402,2695,5012.7,199,14266.46,0.040586126923887834,1.8599999999999999,25.189447236180904,2.8460629999800506
2024-03-14,Google Ads,Video,Branding,Makeup,Argentina,37135,1006,1931.52,62,17772.87,0.027090346034738116,1.92,31.153548387096773,9.201494160039761
2024-09-17,Meta Ads,Search,Performance,Haircare,Brazil,166243,1895,1743.4,51,5887.21,0.01139897619749403,0.92,34.1843137254902,3.376855569576689
2024-09-03,Google Ads,Search,Performance,Makeup,Argentina,144911,7897,12872.11,555,21004.5,0.05449551793859679,1.6300000000000001,23.192990990990992,1.6317837557323547
2024-01-21,Google Ads,Search,Performance,Skincare,Brazil,59886,2113,2662.38,159,4803.43,0.03528370570751094,1.26,16.744528301886792,1.8041864797662241
2024-04-22,Meta Ads,Video,Branding,Makeup,Brazil,98264,3144,4904.64,129,23127.27,0.03199544085321176,1.56,38.02046511627907,4.715385838715991
2024-07-07,Meta Ads,Display,Branding,Haircare,Argentina,67823,2075,3797.25,26,4093.91,0.03059434115270631,1.83,146.04807692307693,1.0781249588518007
2024-05-20,Google Ads,Search,Performance,Skincare,Argentina,159741,6868,9409.16,336,33272.11,0.04299459750471075,1.3699999999999999,28.003452380952382,3.5361403143319916
2024-07-09,Meta Ads,Video,Branding,Haircare,Brazil,76229,1562,1577.62,30,4290.5,0.02049088929410067,1.01,52.587333333333326,2.7196029462101143
2024-02-18,Google Ads,Video,Branding,Skincare,Argentina,42823,1588,4716.36,33,3266.45,0.03708287602456624,2.9699999999999998,142.92,0.6925785987498834
2024-03-31,Meta Ads,Display,Branding,Skincare,Mexico,151295,2163,3417.54,85,3173.67,0.014296572920453419,1.58,40.20635294117647,0.9286416545234292
2024-05-28,Meta Ads,Search,Performance,Haircare,Argentina,49789,622,1293.76,48,7704.96,0.012492719275341943,2.08,26.953333333333333,5.95547860499629
2024-05-27,TikTok Ads,Shopping,Performance,Skincare,Brazil,66842,2339,3274.6,123,14081.65,0.03499296849286377,1.4,26.622764227642275,4.3002656813045865
2024-11-05,Google Ads,Shopping,Performance,Haircare,Mexico,36707,943,1235.33,21,4396.12,0.02568992290298853,1.3099999999999998,58.82523809523809,3.5586604389110605
2024-06-21,TikTok Ads,Display,Branding,Haircare,Brazil,42019,2979,4498.29,234,56724.23,0.07089649920274162,1.51,19.22346153846154,12.610176311442794
2024-12-25,Meta Ads,Shopping,Performance,Skincare,Brazil,51999,930,1116,13,1777.36,0.017884959326140887,1.2,85.84615384615384,1.5926164874551971
2024-05-19,TikTok Ads,Shopping,Performance,Skincare,Argentina,176946,13784,11854.24,743,208986.19,0.07789947215534683,0.86,15.954562584118438,17.629657405282835
2024-01-14,TikTok Ads,Search,Performance,Skincare,Argentina,85428,5134,4415.24,202,37603.74,0.06009739195579904,0.86,21.857623762376235,8.51680542847048
2024-06-05,TikTok Ads,Video,Branding,Haircare,Argentina,180309,5823,3784.95,232,46549.68,0.032294561003610465,0.65,16.314439655172414,12.29862481670828
2024-09-01,Meta Ads,Shopping,Performance,Haircare,Brazil,150698,4581,2336.31,285,32525.45,0.030398545435241342,0.51,8.19757894736842,13.921718436337644
2024-01-18,Google Ads,Shopping,Performance,Makeup,Brazil,76792,3317,10282.7,262,42043.84,0.04319460360454214,3.1,39.2469465648855,4.088793799293959
2024-04-06,TikTok Ads,Search,Performance,Skincare,Argentina,108247,6971,4112.89,517,139391.79,0.064399013367576,0.5900000000000001,7.955299806576403,33.89144616072883
2024-04-01,TikTok Ads,Video,Branding,Haircare,Brazil,115310,3205,3333.2,134,14521.43,0.027794640534212125,1.04,24.87462686567164,4.356603264130565
2024-02-27,TikTok Ads,Display,Branding,Skincare,Mexico,133303,4225,6464.25,139,8508.68,0.031694710546649366,1.53,46.50539568345324,1.316267161697026
2024-11-28,Meta Ads,Search,Performance,Makeup,Mexico,116030,4177,3759.3,188,8691.11,0.035999310523140565,0.9,19.996276595744682,2.31189583167079
2024-04-18,TikTok Ads,Video,Branding,Skincare,Argentina,188844,12860,12602.8,892,133607.64,0.06809853635805214,0.98,14.128699551569506,10.601425080140922
2024-05-24,Google Ads,Video,Branding,Haircare,Mexico,102648,2330,5941.5,157,28653.63,0.02269893227340036,2.55,37.84394904458599,4.822625599596062
2024-04-18,TikTok Ads,Search,Performance,Haircare,Argentina,41558,1757,2125.97,72,18414.15,0.04227826170653063,1.21,29.52736111111111,8.661528619877046
2024-12-01,Google Ads,Search,Performance,Skincare,Brazil,124119,6416,16360.8,358,48445.72,0.051692327524391915,2.55,45.700558659217876,2.9610850325167477
2024-10-12,Google Ads,Video,Branding,Haircare,Brazil,185378,3244,5904.08,246,67552.8,0.017499379645912676,1.82,24.000325203252032,11.44171488191217
2024-08-31,Meta Ads,Search,Performance,Skincare,Brazil,199405,5204,4995.84,333,25169.83,0.026097640480429278,0.9600000000000001,15.002522522522524,5.038157747245709
2024-11-20,Meta Ads,Shopping,Performance,Makeup,Brazil,165322,4529,7835.17,167,38358.92,0.0273950230459346,1.73,46.917185628742516,4.895735510524979
2024-05-20,Meta Ads,Video,Branding,Makeup,Brazil,83678,2761,4583.26,35,4630.48,0.03299553048591027,1.6600000000000001,130.9502857142857,1.01030271029791
2024-08-19,Meta Ads,Search,Performance,Makeup,Mexico,199363,3847,3462.3,73,11133.49,0.019296459222624057,0.9,47.42876712328767,3.2156341160500244
2024-12-07,Google Ads,Shopping,Performance,Skincare,Mexico,144535,7588,23522.8,445,105358.98,0.052499394610302,3.1,52.86022471910112,4.479015253286174
2024-03-06,TikTok Ads,Shopping,Performance,Haircare,Mexico,60114,4917,6637.95,279,15410.94,0.0817945902784709,1.3499999999999999,23.79193548387097,2.3216414706347592
2024-04-29,Google Ads,Search,Performance,Haircare,Mexico,59418,1996,3293.4,80,3528.5,0.033592514052980575,1.6500000000000001,41.167500000000004,1.0713851946316877
2024-07-19,Meta Ads,Shopping,Performance,Makeup,Argentina,194059,3434,4670.24,193,7460.79,0.01769564926130713,1.3599999999999999,24.198134715025905,1.5975174723354688
2024-09-05,Google Ads,Shopping,Performance,Skincare,Argentina,197589,4781,7649.6,225,12329.91,0.024196691111347292,1.6,33.998222222222225,1.61183722024681
2024-02-06,Google Ads,Video,Branding,Haircare,Mexico,73591,2649,7496.67,161,45161.9,0.03599624954138414,2.83,46.56316770186336,6.024261438745469
2024-09-12,Google Ads,Video,Branding,Makeup,Mexico,193869,13124,38453.32,264,67604.89,0.06769519624076051,2.93,145.65651515151515,1.7581028114087418
2024-03-24,Google Ads,Video,Branding,Haircare,Mexico,185523,6029,8320.02,252,12404.91,0.032497318391789695,1.3800000000000001,33.015952380952385,1.4909711755500588
2024-11-11,TikTok Ads,Shopping,Performance,Haircare,Argentina,184969,15407,20645.38,352,52669.94,0.08329503862809444,1.34,58.65164772727273,2.5511731922589944
2024-04-14,TikTok Ads,Search,Performance,Makeup,Mexico,88115,5383,3660.44,121,28357.39,0.06109062021222266,0.68,30.251570247933884,7.746989432964343
2024-12-25,Meta Ads,Shopping,Performance,Skincare,Mexico,46291,1976,1442.48,74,2307.39,0.042686483333693376,0.73,19.49297297297297,1.5995993012034828
2024-08-02,Google Ads,Video,Branding,Skincare,Brazil,33750,1410,2693.1,106,5682.79,0.041777777777777775,1.91,25.406603773584905,2.110129590434815
2024-11-12,Google Ads,Video,Branding,Haircare,Brazil,57335,1869,5139.75,133,11136.73,0.032597889596232665,2.75,38.64473684210526,2.166784376672017
2024-04-04,TikTok Ads,Search,Performance,Skincare,Mexico,244673,18906,22896.739999999998,1062,210274.16,0.0772704793745121,1.211083253993441,21.560018832391712,9.183585086785282
2024-12-18,Meta Ads,Display,Branding,Skincare,Brazil,177825,4285,3342.3,163,29602.7,0.02409672430760579,0.78,20.504907975460124,8.856984711127067
2024-12-06,TikTok Ads,Video,Branding,Haircare,Brazil,23883,1332,2077.92,66,10903.46,0.05577188795377465,1.56,31.483636363636364,5.247295372295372
2024-09-16,Meta Ads,Display,Branding,Haircare,Brazil,7056,227,186.14,6,1653.16,0.032171201814058956,0.82,31.02333333333333,8.881272160739229
2024-12-08,Meta Ads,Search,Performance,Haircare,Mexico,46936,2234,1764.86,55,5977.87,0.047596727458667124,0.7899999999999999,32.08836363636363,3.3871638543567197
2024-08-31,Google Ads,Video,Branding,Haircare,Brazil,166957,5476,6680.72,137,35345.21,0.032798864378253086,1.22,48.7643795620438,5.290628854374977
2024-07-29,Google Ads,Search,Performance,Skincare,Brazil,63001,3181,4707.88,94,3324.55,0.05049126204345963,1.48,50.083829787234045,0.7061671070630517
2024-08-02,TikTok Ads,Shopping,Performance,Skincare,Brazil,50955,3892,4942.84,224,60995.17,0.07638112059660485,1.27,22.06625,12.340106092853501
2024-05-18,Google Ads,Display,Branding,Skincare,Brazil,13294,583,804.54,46,11553.7,0.04385437039265834,1.38,17.49,14.3606284336391
2024-11-30,Google Ads,Shopping,Performance,Haircare,Mexico,61902,2599,7589.08,160,43994.91,0.04198571936286388,2.92,47.43175,5.797133512889573
2024-12-26,Meta Ads,Search,Performance,Skincare,Brazil,138704,1803,1550.58,119,10297.42,0.012998904141192756,0.86,13.030084033613445,6.641011750441771
2024-12-11,Google Ads,Shopping,Performance,Haircare,Mexico,154058,3728,9170.88,125,7520.81,0.024198678419815912,2.46,73.36703999999999,0.8200750636798214
2024-03-06,Meta Ads,Search,Performance,Haircare,Argentina,132390,2780,2807.8,133,39444.5,0.020998564846287485,1.01,21.111278195488723,14.04818719282
2024-12-12,Google Ads,Search,Performance,Makeup,Argentina,38512,1840,2465.6,53,3324.76,0.04777731616119651,1.3399999999999999,46.52075471698113,1.3484587929915641
2024-07-19,Meta Ads,Display,Branding,Haircare,Argentina,140475,5043,10287.72,327,96504.49,0.03589962626801922,2.04,31.46091743119266,9.380551764628121
2024-02-24,TikTok Ads,Display,Branding,Makeup,Argentina,133422,8458,6935.56,663,111531.65,0.06339284375890034,0.8200000000000001,10.460874811463047,16.08113115595568
2024-04-30,Google Ads,Shopping,Performance,Haircare,Brazil,155018,9146,27072.16,495,33297.83,0.05899960004644622,2.96,54.69123232323232,1.2299657655687615
